advisor_code,cap_color,advisor_choice,advisor_has_premium_brown,advisor_has_premium_black,advisor_disclose_bonus,share_chose_observed
eaawsmq4,black,black,0,1,1,0.66
2wiur972,brown,black,0,1,1,0.66
qjrqin3j,brown,black,0,1,1,0.66
fm6tif1c,brown,black,0,1,0,0.66
e0g0127g,black,black,0,1,1,0.66
wmlndntx,black,black,0,1,1,0.66
qn7y15r6,brown,brown,0,1,1,0.66
k60hykki,brown,black,0,1,1,0.66
razktkl8,black,black,0,1,1,0.66
p9gix5bd,brown,brown,0,1,1,0.66
uhwnpj8m,brown,black,0,1,1,0.66
ftvl1y75,black,black,0,1,1,0.66
de10oiln,brown,black,0,1,0,0.66
hk5cryxt,black,black,0,1,1,0.66
go05lblt,brown,black,0,1,1,0.66
pwjjx4e1,black,black,0,1,0,0.66
4hfhqau3,black,black,0,1,0,0.66
wd1swh87,black,black,0,1,0,0.66
xo36soda,black,black,0,1,1,0.66
mnoby9hs,black,black,0,1,1,0.66
r3lajra3,black,black,0,1,1,0.66
xnt8xh96,black,black,0,1,1,0.66
t4gzj9yg,brown,brown,0,1,1,0.66
91mdbvhq,brown,black,0,1,1,0.66
sb0r57s0,brown,black,0,1,0,0.66
gd9oaea0,black,black,0,1,1,0.66
bgg9tcxs,black,black,0,1,1,0.66
81lu6q1w,brown,black,0,1,0,0.66
1t2tatr9,black,black,0,1,1,0.66
70vpswdz,brown,brown,0,1,0,0.66
1yf5b406,brown,black,0,1,1,0.66
yibd6c32,brown,brown,0,1,0,0.66
92e2tmuq,brown,black,0,1,1,0.66
8ar2i3bz,black,black,0,1,1,0.66
6fdqkus0,black,black,0,1,0,0.66
04g37q0i,black,black,0,1,1,0.66
14qc93g6,brown,brown,0,1,1,0.66
xe3y19k1,black,black,0,1,1,0.66
3l1hz6vg,brown,black,0,1,1,0.66
6hrltaod,black,black,0,1,0,0.66
xgu589a6,black,black,0,1,1,0.66
sm2xqt6a,brown,black,0,1,1,0.66
gs68fs9j,brown,black,0,1,1,0.66
0xjqvgvj,black,black,0,1,1,0.66
6mgobu2t,brown,black,0,1,1,0.66
gzjuuyp1,black,black,0,1,1,0.66
isiuln9b,black,black,0,1,1,0.66
jzm7tw82,black,black,0,1,1,0.66
cnkkanba,black,black,0,1,1,0.66
ukp6d87h,brown,black,0,1,1,0.66
diqrlmmx,brown,black,0,1,0,0.66
5jzclj4m,black,black,0,1,1,0.66
3kx914tk,black,black,0,1,1,0.66
m868mv5k,brown,black,0,1,1,0.66
5phyaabw,black,black,0,1,1,0.66
uqcej8f6,black,black,0,1,1,0.66
83svzaij,black,black,0,1,1,0.66
ny1v66ga,black,black,0,1,1,0.66
uew0f0xc,black,black,0,1,1,0.66
vwhblh4x,brown,black,0,1,1,0.66
bhkbw5j3,brown,black,0,1,1,0.66
vvqv2agh,black,black,0,1,1,0.66
prlcd2g0,black,black,0,1,1,0.66
0e76bxkn,black,black,0,1,1,0.66
w4d6rtw0,brown,brown,0,1,1,0.66
gwshfmai,brown,black,0,1,1,0.66
0dutogea,brown,black,0,1,1,0.66
crb3d8ke,brown,brown,0,1,1,0.66
mmdfyxbc,brown,black,0,1,0,0.66
fj2nwz7d,brown,black,0,1,1,0.66
jmo4dvr4,brown,black,0,1,1,0.66
8qxg800f,brown,black,0,1,1,0.66
z1t7avmi,brown,brown,0,1,0,0.66
wtgh4a4t,brown,brown,0,1,1,0.66
bjifrlja,black,black,0,1,1,0.66
811210bb,black,brown,0,1,1,0.66
rfvku7vb,black,black,0,1,1,0.66
g09ndb7o,brown,black,0,1,0,0.66
2vynql0k,black,black,0,1,1,0.66
6ss2tuag,brown,black,0,1,1,0.66
5sw1qnwi,black,black,0,1,1,0.66
6i7y4csn,black,black,0,1,1,0.66
qlvasbxg,brown,black,0,1,0,0.66
33tihh4u,black,black,0,1,1,0.66
318mhhiu,black,black,0,1,1,0.66
h1gglcpn,black,black,0,1,1,0.66
64e27igc,black,black,0,1,1,0.66
yhfykbiw,black,black,0,1,1,0.66
349vno4l,black,black,0,1,1,0.66
5p51edzy,brown,black,0,1,1,0.66
xp9clfdp,black,black,0,1,1,0.66
kcwc4y4w,black,black,0,1,1,0.66
l5mz2svz,black,black,0,1,1,0.66
82vnj392,black,black,0,1,1,0.66
q1fezeb3,black,black,0,1,1,0.66
x0ht7hpf,brown,black,0,1,0,0.66
zfl6l2z8,brown,black,0,1,1,0.66
ehf2ot56,black,black,0,1,1,0.66
638i944v,black,black,0,1,1,0.66
tlsthk45,black,black,0,1,1,0.66
zk3gsgtc,brown,black,0,1,0,0.66
c5niba90,brown,brown,0,1,1,0.66
suur1g8a,brown,black,0,1,0,0.66
2yhun9og,black,black,0,1,1,0.66
rpg4pcb6,black,black,0,1,1,0.66
1gwmjics,brown,brown,0,1,1,0.66
k9xt2qsr,brown,black,0,1,1,0.66
4m0ougj8,black,black,0,1,1,0.66
oxt89lh0,black,black,0,1,1,0.66
e3udlpnm,black,black,0,1,1,0.66
fg23h1jf,brown,black,0,1,1,0.66
0f9ejncn,brown,black,0,1,1,0.66
y108zuwx,brown,brown,0,1,1,0.66
6aahlxtw,black,black,0,1,1,0.66
r9s5r2ic,black,black,0,1,1,0.66
yc0rpqyw,black,black,0,1,1,0.66
a0mxgowp,brown,black,0,1,0,0.66
6zcm1ti6,black,black,0,1,1,0.66
rqvlaqbz,black,black,0,1,1,0.66
rzabgt17,black,black,0,1,1,0.66
jwdv5i14,black,black,0,1,1,0.66
k8kcx624,black,black,0,1,1,0.66
u9t5iai3,brown,black,0,1,1,0.66
0acszzad,brown,black,0,1,1,0.66
g49ujtog,brown,brown,0,1,1,0.66
a00qu209,brown,black,0,1,0,0.66
lsa6j90s,black,brown,0,1,0,0.66
yyqsyr56,brown,black,0,1,1,0.66
nnj276jg,brown,brown,0,1,1,0.66
1mo4psk3,brown,brown,0,1,1,0.66
6jw5wjz8,black,black,0,1,1,0.66
k9y703il,black,black,0,1,1,0.66